,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
26,False,46.0,1.0,0.009768886602243912,17.0,80.0,True,47.1010112715948,1.202743585705927,0.028327033379960745,47.1010112715948
27,False,94.0,4.0,0.014378938734372038,13.0,40.0,True,93.68630103456759,0.5426875631339021,0.16387916234190922,93.68630103456759
28,False,82.0,2.0,0.0027175589195451984,23.0,60.0,True,89.90944870562788,0.6019694618396387,0.2055321457775782,89.90944870562788
29,False,14.0,4.0,,,,False,76.9999545754303,-0.3176177970981454,0.02407069286506341,76.9999545754303
30,False,86.0,3.0,0.0027175589195451984,24.0,60.0,True,90.90587724809474,0.6014547497660254,0.033919038233344745,90.90587724809474
31,False,34.0,1.0,,,,False,33.046544380632874,0.8609304211806157,0.06884213561735096,33.046544380632874
32,False,40.0,4.0,,,,False,40.89405609534431,1.0744217021661993,0.007786809763907424,40.89405609534431
33,False,62.0,1.0,0.0027175589195451984,21.0,60.0,True,68.84223080331277,0.9952966675818332,0.13929984642731835,68.84223080331277
34,False,74.0,4.0,0.0027175589195451984,22.0,60.0,True,86.27087047743089,0.7811949379556143,0.0756239728852154,86.27087047743089
35,False,44.0,3.0,2.3463177024575275e-05,43.0,120.0,True,44.3051298388385,0.8173413109211237,0.06665448263937843,44.3051298388385
36,False,32.0,4.0,,,,False,60.03928911534827,0.4528529446906318,0.05425975970199081,60.03928911534827
37,False,92.0,4.0,0.0027175589195451984,19.0,60.0,True,92.87030467434025,0.573751718787354,0.14696945314311172,92.87030467434025
38,False,94.0,2.0,0.015179268716287764,3.0,40.0,True,96.34740852190993,0.7588549588179287,0.022229382408195077,96.34740852190993
39,False,14.0,3.0,,,,False,73.480499201861,-0.055765362971283455,0.021878428746310276,73.480499201861
40,False,42.0,4.0,9.769463978594748e-07,50.0,160.0,True,43.38470117445566,1.097731009067484,0.016496246819311017,43.38470117445566
41,False,66.0,2.0,0.0027175589195451984,14.0,60.0,True,76.21999802553802,0.9064959123151957,0.2454530650752807,76.21999802553802
42,False,72.0,0.0,0.0027175589195451984,19.0,60.0,True,81.13587801799386,0.6978307738521283,0.22304014667629343,81.13587801799386
43,False,88.0,1.0,0.0027175589195451984,25.0,60.0,True,91.17539564948217,0.7622856929404048,0.14946066250433848,91.17539564948217
44,False,82.0,1.0,0.0027175589195451984,28.0,60.0,True,89.81908177875778,0.7937387269839999,0.17655853802510743,89.81908177875778
45,False,84.0,2.0,0.0027175589195451984,23.0,60.0,True,90.98313068753075,0.5522219839910865,0.200681805801015,90.98313068753075
46,False,22.0,4.0,,,,False,95.14317022893786,0.02114746098089415,0.008317156418234052,95.14317022893786
47,False,14.0,0.0,,,,False,76.10754003390565,0.1293501619252331,0.01870573354533028,76.10754003390565
48,False,24.0,4.0,,,,False,84.87601103103181,-0.1763881274427019,0.022405758735275103,84.87601103103181
49,False,86.0,0.0,0.0027175589195451984,24.0,60.0,True,89.70445690783123,0.7639140108720138,0.14117877545731658,89.70445690783123
50,False,6.0,0.0,,,,False,125.40893661100864,-0.12158823685714443,0.03725072503093305,125.40893661100864
51,False,38.0,3.0,0.000536299530926331,33.0,80.0,True,37.70028232961443,0.5219702644841745,0.08520443503875044,37.70028232961443
52,False,64.0,1.0,0.0027175589195451984,21.0,60.0,True,72.67263482729587,0.9249139673301157,0.20173225479617732,72.67263482729587
53,False,50.0,1.0,0.0004464632478705441,33.0,120.0,True,50.72859210328776,1.0946324032741896,0.08256860607732129,50.72859210328776
54,False,84.0,0.0,0.0027175589195451984,23.0,60.0,True,88.93971157316736,0.797402410621911,0.14897236500050837,88.93971157316736
55,False,74.0,0.0,0.002720530746152272,17.0,60.0,True,82.91382485548638,0.7275364773797078,0.21476986534991235,82.91382485548638
56,False,52.0,3.0,0.009836505925086374,29.0,80.0,True,54.302408565737544,1.1744083442030384,0.028920779428801214,54.302408565737544
57,False,30.0,1.0,,,,False,30.776644643335132,0.4085302146351636,0.06429601803051486,30.776644643335132
58,False,4.0,2.0,,,,False,,,0.02788980074837611,
59,False,78.0,1.0,0.0027175589195451984,19.0,60.0,True,88.14989211697286,0.8179206591048199,0.19971535378016034,88.14989211697286
60,False,26.0,1.0,,,,False,71.81758256460898,-0.0679223951713104,0.045642367757319016,71.81758256460898
61,False,52.0,0.0,0.000536299530926331,29.0,80.0,True,55.342033488469646,1.0506857229339945,0.02612536156219258,55.342033488469646
62,False,46.0,4.0,0.000536299530926331,19.0,80.0,True,46.77840339386856,0.6656394453004617,0.03378742201927799,46.77840339386856
63,False,60.0,1.0,0.000536299530926331,22.0,80.0,True,62.7431857696113,1.0589450605261492,0.08861313867662907,62.7431857696113
64,False,22.0,3.0,,,,False,82.27874793332387,-0.43359637751784863,0.03717173514027455,82.27874793332387
65,False,50.0,4.0,0.00010854035667974223,26.0,100.0,True,49.69742519332379,0.5756449407994553,0.032059103885356724,49.69742519332379
66,False,56.0,1.0,0.000536299530926331,32.0,80.0,True,60.017214357393286,0.9448673208907101,0.039842537998707885,60.017214357393286
67,False,92.0,0.0,0.0027175589195451984,25.0,60.0,True,92.72337425648561,0.6055974624073889,0.10048675485020704,92.72337425648561
