,control,trial,covariance,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score
80,False,9.0,100.0,2.356163298699515e-05,35.0,120.0,True,52.38717578926773,1.1543264941096574,5.490268858042882,0.15805887254945417
81,False,18.0,65.0,2.3450897590837523e-05,28.0,120.0,True,51.85222807143788,0.968264531353868,5.8908832442597845,0.10992672293616135
82,False,1.0,100.0,0.00044547520303622723,37.0,120.0,True,50.442507528135096,1.0107623957241194,5.760441618735983,0.07560451824064618
83,False,11.0,30.0,,,,False,50.46744875120538,1.067412866668907,4.905484799187051,0.30106659869536495
84,False,18.0,120.0,2.2335258194775122e-05,42.0,120.0,True,51.75925947762829,0.6360690516534335,6.425603655241478,0.09263878327361498
85,False,2.0,55.0,,,,False,51.29541117153386,0.9598056851466773,5.581779641836362,0.03872513874191109
86,False,14.0,145.0,0.08357287701541317,18.0,20.0,True,52.61113853502248,1.118346911255769,5.490268858042882,0.031343488839476734
87,False,4.0,25.0,0.08357287701541317,3.0,20.0,True,50.166280577792165,0.8216841049246713,5.443936646892927,0.07193084148563206
88,False,2.0,125.0,0.002213441819618329,16.0,100.0,True,50.567466080767716,0.4697387516245066,6.265936375467428,0.030418899023219603
89,False,13.0,105.0,2.3549304528025793e-05,47.0,120.0,True,50.60795803432459,1.0754154993389555,5.206094181276915,0.0317693994464488
90,False,8.0,80.0,2.235870976719957e-05,38.0,120.0,True,52.37840341062213,1.1376650393821883,5.3025115238676035,0.06034340095748557
91,False,19.0,45.0,,,,False,50.00279904153432,1.0729438588519782,5.397206712473788,0.053067151736327624
92,False,1.0,15.0,,,,False,50.185085135754726,1.0714423405776823,4.801100840289844,0.141941578683372
93,False,2.0,135.0,0.04758980475953447,15.0,60.0,True,50.33361048305275,0.3517262944082843,6.425603655241478,0.03326410500697487
94,False,15.0,125.0,0.0027175589195451984,26.0,60.0,True,60.650600732401294,0.7107468979700802,6.306232201530292,0.04556302735773739
95,False,0.0,35.0,,,,False,53.78111453795949,1.1710183240021486,5.3025115238676035,0.1695426964655174
96,False,15.0,135.0,0.014378938734372038,16.0,40.0,True,60.901403985177254,0.6369214484618335,6.346272173317913,0.03663573099142281
97,False,15.0,85.0,0.0011438700144467376,39.0,140.0,True,56.45101016128504,0.9995289275323866,5.760441618735983,0.06127916516723019
98,False,5.0,80.0,0.00010854035667974223,37.0,100.0,True,53.97242975012611,1.049192836089255,5.933726595969213,0.11999866546210168
99,False,5.0,95.0,0.00010854035667974223,38.0,100.0,True,54.26989495907833,0.9529536622558012,6.102092672891746,0.11842121495715022
100,False,7.0,50.0,0.0027175589195451984,24.0,60.0,True,52.345880551208054,1.1892605290922196,5.443936646892927,0.2699682561695246
101,False,3.0,130.0,0.000536299530926331,34.0,80.0,True,57.20610377542057,0.6144558059000372,5.8908832442597845,0.013747890780332225
102,False,2.0,40.0,,,,False,51.28576507855925,0.9947660662946596,5.397206712473788,0.053049738022002385
103,False,9.0,80.0,2.4748332066436374e-05,30.0,120.0,True,52.27881366145448,1.1680213409246776,5.443936646892927,0.1541842659083733
104,False,14.0,85.0,2.353698220730025e-05,49.0,120.0,True,52.0735860941252,1.1903497694512757,5.254524007228157,0.04948439102094791
105,False,17.0,95.0,0.00012041971828461404,26.0,100.0,True,53.391926736625024,1.0025329619239698,6.306232201530292,0.08110636225918635
106,False,17.0,45.0,0.014378938734372038,9.0,40.0,True,51.95996108371727,1.0912660392123323,5.443936646892927,0.1508627884534585
107,False,5.0,105.0,0.000536299530926331,35.0,80.0,True,54.42749155482328,0.9009806537163707,6.184557124401271,0.12046869340839698
108,False,17.0,90.0,0.00012072422799694495,21.0,100.0,True,53.391926736625024,1.015532809884893,6.184557124401271,0.0847136308227647
109,False,6.0,80.0,0.0011491481879440468,50.0,140.0,True,50.99948966767226,1.10056562091856,5.536213331493574,0.15625918686963658
110,False,10.0,35.0,0.015077127859415429,8.0,40.0,True,51.97577781240476,1.224368773895467,5.157209585242165,0.0492359429213613
111,False,1.0,110.0,2.3573967587094736e-05,39.0,120.0,True,50.163070956509,0.9973372565553726,5.760441618735983,0.07245579813594402
112,False,18.0,25.0,0.015179268716287764,7.0,40.0,True,52.228304580206064,1.055509788525129,5.157209585242165,0.146410114989755
113,False,9.0,90.0,2.4825978071528574e-05,32.0,120.0,True,52.225412147967,1.1807762885301791,5.443936646892927,0.15881576262018077
114,False,10.0,85.0,2.2335258194775122e-05,27.0,120.0,True,53.068907965326666,1.208893667353705,5.397206712473788,0.016868506067300004
115,False,8.0,55.0,0.08357287701541317,6.0,20.0,True,51.90804678737333,1.1611183718377895,5.254524007228157,0.07823290630758488
116,False,5.0,135.0,0.000536299530926331,34.0,80.0,True,56.183291940361144,0.6951596998781713,6.733589657823393,0.12206738421753802
117,False,14.0,25.0,0.08357287701541317,12.0,20.0,True,51.23218796801767,1.2147246000216843,4.905484799187051,0.10835972302875008
118,False,9.0,35.0,0.08357287701541317,4.0,20.0,True,52.510601571765186,1.1811964533900954,5.3025115238676035,0.13903090153896808
119,False,11.0,20.0,,,,False,49.7739962106712,1.0778033701054663,4.748048373850056,0.33632167808515684
120,False,9.0,110.0,2.3524666021933033e-05,37.0,120.0,True,52.405615316030364,1.1509525102727656,5.671814154787007,0.15424654125646295
121,False,0.0,115.0,2.2335258194775122e-05,53.0,120.0,True,54.14386708376903,1.0620901103934908,5.9762628149976855,0.10207433470083417
122,False,1.0,90.0,2.356163298699515e-05,37.0,120.0,True,50.58556467103189,1.049076388749741,5.581779641836362,0.07942787350875573
123,False,2.0,20.0,,,,False,51.04576562393323,1.0658757697471493,4.956852532935281,0.1059171194722348
124,False,16.0,85.0,9.421647528167204e-05,32.0,140.0,True,54.35430323423924,0.9274335926593573,6.265936375467428,0.02436938809917507
125,False,16.0,70.0,0.0004270857870597973,35.0,120.0,True,54.43647544552473,0.9723099573087874,6.102092672891746,0.02788931845742981
126,False,10.0,130.0,0.00010854035667974223,33.0,100.0,True,54.07187924427072,1.1561233362484384,5.626976975981913,0.016256724636760565
127,False,18.0,115.0,2.2335258194775122e-05,41.0,120.0,True,51.750972752359786,0.6570169745907185,6.425603655241478,0.09388021478430479
128,False,17.0,80.0,0.0001208767549671022,21.0,100.0,True,53.01249497397572,1.02574251737334,6.102092672891746,0.09038829946671299
129,False,15.0,145.0,0.014378938734372038,16.0,40.0,True,61.89263812754408,0.48267072049987,6.542797573583314,0.028649171983380455
130,False,9.0,70.0,2.4696696467225823e-05,28.0,120.0,True,52.227510348062665,1.1896377759700134,5.397206712473788,0.15223845354568885
131,False,3.0,135.0,0.000536299530926331,37.0,80.0,True,57.27085891722861,0.5904542486902358,5.9762628149976855,0.01144598969586982
132,False,4.0,70.0,0.00010854035667974223,25.0,100.0,True,49.69742519332379,0.5811768862556661,6.464904349831043,0.03024207633594976
133,False,4.0,130.0,0.00010854035667974223,41.0,100.0,True,52.375037982362954,0.2630407179327501,7.345306684512558,0.04936841654918976
134,False,11.0,130.0,0.0027175589195451984,14.0,60.0,True,51.204839169408615,0.7657653693286195,5.490268858042882,0.1847567638727887
135,False,2.0,115.0,0.0004722559622843831,25.0,120.0,True,50.69530090268246,0.5632466019355791,6.143463266494789,0.032246387342175956
136,False,8.0,120.0,2.2335258194775122e-05,50.0,120.0,True,52.50138222237334,1.1027643685521955,5.3025115238676035,0.04176582999336071
137,False,14.0,40.0,0.08357287701541317,13.0,20.0,True,51.800364251678786,1.2180626646195636,5.107857162049657,0.07470849705986782
138,False,13.0,100.0,0.0004482468847149543,44.0,120.0,True,50.67715912423423,1.0846253193266069,5.206094181276915,0.033824714640374086
139,False,6.0,25.0,,,,False,50.955281121547166,1.0914795602703586,5.058023217591067,0.18707835771582607
140,False,9.0,130.0,2.3549304528025793e-05,41.0,120.0,True,52.90746849888414,1.1353557999636976,5.760441618735983,0.1506915828116869
141,False,7.0,20.0,0.08357287701541317,8.0,20.0,True,52.26611776663324,1.1764387858855105,4.956852532935281,0.3310762301626751
142,False,1.0,145.0,0.04751514313372961,16.0,60.0,True,49.803634925089746,0.9095047361295108,6.184557124401271,0.06517355705484337
143,False,9.0,15.0,0.08357287701541317,4.0,20.0,True,52.23903512153507,1.1411890081220253,4.853573446116123,0.15436505079614976
144,False,6.0,115.0,0.04747784926670927,23.0,60.0,True,50.799468147625944,1.0355423896217861,5.671814154787007,0.15653003083075354
145,False,15.0,110.0,0.0027175589195451984,26.0,60.0,True,57.77313175301528,0.8763834868780612,6.102092672891746,0.052479090643485146
146,False,15.0,15.0,0.015026284807867817,10.0,40.0,True,52.25265309001797,1.131230028956788,4.853573446116123,0.11165764462020356
147,False,18.0,135.0,0.000536299530926331,30.0,80.0,True,51.445441616191744,0.5125351195996924,6.542797573583314,0.09027459871907619
