,trial,length_minutes,cell_hd_corr
61,4.0,400.0,0.2511373246311312
62,14.0,400.0,0.8523330082970638
63,2.0,400.0,0.7760840835969478
64,3.0,400.0,0.7008359002044389
65,15.0,400.0,0.7899238873684582
66,13.0,400.0,0.7440162573621697
67,7.0,400.0,0.39781928324298477
68,10.0,400.0,0.8000047609451203
69,6.0,400.0,0.8523257825493402
70,14.0,60.0,0.6873994564966113
71,3.0,60.0,0.4043704495461494
72,12.0,60.0,0.6407133489339878
73,4.0,60.0,0.6422719571742577
74,6.0,60.0,0.8755086527275119
75,16.0,60.0,0.41174048086101733
76,2.0,60.0,0.706405159280041
77,9.0,60.0,0.6022270638627628
78,13.0,60.0,0.8781373781642654
79,19.0,60.0,0.6412468648915506
80,8.0,60.0,0.36319415226795027
81,0.0,60.0,0.6770657639989495
82,5.0,60.0,0.47744591063118447
83,5.0,5.0,-0.01791232756828062
84,13.0,5.0,-0.10105196018254667
85,12.0,5.0,-0.07820311704623743
86,6.0,5.0,-0.23592891316102058
87,7.0,5.0,-0.41274834953705597
88,9.0,5.0,-0.22842272907937988
89,3.0,5.0,-0.3847345861134244
90,8.0,5.0,-0.46906036206990936
91,2.0,5.0,0.08328064513898184
92,10.0,5.0,-0.03380365481535932
93,15.0,5.0,0.03886605182003928
94,0.0,5.0,-0.0010744396909135117
95,8.0,2.0,-0.05949748584692939
96,6.0,2.0,-0.15388874475865044
97,4.0,2.0,-0.1777606904906032
98,2.0,2.0,0.059868877768045135
99,3.0,2.0,-0.10252621395834899
100,14.0,2.0,-0.17744646737573172
101,7.0,2.0,-0.11239997572287609
102,5.0,2.0,-0.019287431351853453
103,10.0,2.0,-0.16569302588214188
104,12.0,2.0,-0.0676858147420029
105,4.0,300.0,-0.12878778046250508
106,19.0,300.0,0.4974465820104888
107,2.0,300.0,0.5254916849309439
108,0.0,300.0,0.252298897989611
109,15.0,300.0,0.40186049233950993
110,9.0,300.0,0.17079161739672497
111,8.0,300.0,-0.1714474563055395
112,3.0,300.0,0.2839407052589738
113,4.0,55.0,0.6729393583467344
114,13.0,55.0,0.8695869373226816
115,12.0,55.0,0.5990726611682423
116,5.0,55.0,0.44962648962332724
117,14.0,55.0,0.6347239869442703
118,9.0,55.0,0.5910723107626036
119,3.0,55.0,0.40190233382816515
120,8.0,55.0,0.3611457419400767
121,2.0,55.0,0.7041844953073333
122,12.0,50.0,0.6150382478196597
123,11.0,50.0,0.5823268614245743
124,0.0,50.0,0.6916592897343011
125,17.0,50.0,0.4685886013468792
126,2.0,50.0,0.7228637538281754
127,9.0,50.0,0.5334607534217641
128,3.0,50.0,0.3887334655432406
129,8.0,50.0,0.33484393866044704
130,13.0,50.0,0.8591253848472391
131,5.0,50.0,0.44486921669950225
132,19.0,50.0,0.6242121305427292
133,7.0,50.0,0.5750554128043036
134,3.0,4.0,0.000622575596318361
135,2.0,4.0,0.520152815356811
136,13.0,4.0,0.4904037636206226
137,14.0,4.0,0.1439292122293526
138,19.0,4.0,0.48587833207082876
139,9.0,4.0,0.2310730093471186
140,6.0,4.0,0.32519786154079827
141,5.0,4.0,0.47239481415466317
142,12.0,4.0,0.06242051588997735
143,4.0,1.0,-0.23353153418843123
144,8.0,1.0,-0.35263598033392307
145,13.0,1.0,-0.10790208275879741
146,16.0,1.0,-0.2665285718732018
147,17.0,1.0,-0.08767375564132093
148,18.0,1.0,-0.07747504485017905
149,19.0,1.0,-0.26074727246321855
150,11.0,1.0,-0.24992719848799075
