,control,trial,length_minutes,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score,id,corr_between_frac_0_01
80,False,0.0,60.0,4.650663710441662e-06,67,140,True,49.929537518120895,1.0816230594802807,5.157209585242165,0.10793510372158231,60.0_0.0,0.8958333333333334
81,False,5.0,60.0,2.2335258194775122e-05,65,120,True,50.21730018125763,1.0200768590840816,5.443936646892927,0.036173015620915634,60.0_5.0,0.6285714285714286
82,False,5.0,5.0,0.08357287701541317,2,20,True,50.98342684012732,0.8705514224206027,5.443936646892927,0.12378202079703912,5.0_5.0,
83,False,13.0,5.0,0.2270789631233877,13,40,True,49.70248095791284,0.6835247787674839,5.536213331493574,0.0727506192780471,5.0_13.0,1.0
84,False,6.0,5.0,0.00046030881015350096,7,120,True,51.09621436502657,0.664371050190737,5.490268858042882,0.06568474687628473,5.0_6.0,0.4857142857142857
85,False,7.0,5.0,0.3270794341405753,10,60,True,49.95492512893712,0.6517842725246235,5.107857162049657,0.04818290614419483,5.0_7.0,0.125
86,False,9.0,5.0,0.9861947219815315,0,20,True,48.45280831929518,0.47957993065229654,5.350068633107469,0.0633733057859252,5.0_9.0,
87,False,3.0,5.0,0.34141863025157215,1,60,True,49.41550281881451,0.884424062988899,5.157209585242165,0.018190110035872214,5.0_3.0,0.625
88,False,8.0,5.0,0.33037872660644807,2,60,True,49.50525272565487,0.6629191038889491,5.581779641836362,0.052152632474804464,5.0_8.0,0.5
89,False,2.0,5.0,0.0096773461305265,9,80,True,51.891469604879006,0.674338067892851,5.760441618735983,0.17674266644308045,5.0_2.0,0.4666666666666667
90,False,15.0,5.0,0.04868352797594089,3,60,True,48.63380016911651,0.6476611105790109,5.490268858042882,0.06641217738903543,5.0_15.0,0.75
91,False,0.0,5.0,0.23182172608308194,1,40,True,50.670856794975315,1.0271476023957098,5.058023217591067,0.13232988731760834,5.0_0.0,0.3333333333333333
92,False,8.0,2.0,0.2270789631233877,1,40,True,51.27162699650155,0.7494046713149762,5.933726595969213,0.14642515373325032,2.0_8.0,0.3333333333333333
93,False,6.0,2.0,0.12506267194187862,20,100,True,72.3248158894651,0.4887165877464008,5.804247889354599,0.023113581155261482,2.0_6.0,0.3333333333333333
94,False,4.0,2.0,0.22263780564123803,13,40,True,66.82238151651029,0.1130281779708849,5.581779641836362,0.08855156354445924,2.0_4.0,
95,False,2.0,2.0,0.39754647379683694,9,80,True,57.59111878077631,0.5339077540197895,5.760441618735983,0.0825326801826906,2.0_2.0,0.26666666666666666
96,False,3.0,2.0,0.2259041592692007,12,40,True,51.41813185292623,0.7138886346285641,5.490268858042882,0.025973501722497527,2.0_3.0,0.3333333333333333
97,False,14.0,2.0,0.08357287701541317,15,20,True,63.77038037127381,0.5928915539692147,5.397206712473788,0.06615237030375064,2.0_14.0,
98,False,5.0,2.0,0.048759728870786195,2,60,True,73.427428172855,0.5798718570760806,5.804247889354599,0.1734264609616786,2.0_5.0,0.5
99,False,10.0,2.0,0.020767851867647284,25,100,True,52.86600452139556,0.41984241203297634,5.157209585242165,0.14236214351652163,2.0_10.0,0.3333333333333333
100,False,4.0,300.0,2.2335258194775122e-05,90,120,True,50.88373089373775,0.9820389764013935,5.397206712473788,0.03471370296896492,300.0_4.0,0.8857142857142857
101,False,19.0,300.0,2.2335258194775122e-05,95,120,True,50.677393708220166,1.1407599088042155,5.397206712473788,0.07458246329223825,300.0_19.0,0.8
102,False,2.0,300.0,2.2346981053038265e-05,66,120,True,52.18480059875206,0.9644568196659387,5.581779641836362,0.10239150059524608,300.0_2.0,0.8571428571428571
103,False,0.0,300.0,2.2335258194775122e-05,95,120,True,51.34978210432056,1.1443163115079011,5.254524007228157,0.06663200514178902,300.0_0.0,0.8285714285714286
